state,year,ammunition_regulations,assault_weapons_regulations,background_checks,buyer_regulations,child_access_prevention,concealed_carry_permitting,dealer_regulations,domestic_violence,gun_trafficking,immunity,no_stand_your_ground,possession_regulations,preemption,prohibitions_against_high_risk_gun_owners,lawtotal
Oregon,1991,0,0,0,2,0,4,3,0,0,1,1,1,0,4,16
Pennsylvania,1991,0,0,0,3,0,3,7,1,0,1,1,1,0,0,17
Rhode Island,1991,2,0,9,8,0,3,8,0,0,1,1,2,0,5,39
South Carolina,1991,0,0,0,2,0,6,4,0,0,1,1,6,0,1,21
South Dakota,1991,0,0,0,0,0,2,0,0,0,1,1,1,0,1,6
Tennessee,1991,0,0,0,2,0,6,1,0,0,1,1,7,0,0,18
Texas,1991,0,0,0,1,0,5,0,0,0,1,1,5,0,0,13
Utah,1991,0,0,0,0,0,6,0,0,0,1,1,4,0,0,12
Vermont,1991,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3
Virginia,1991,0,0,0,1,0,4,1,0,2,1,1,1,0,1,12
Washington,1991,0,0,0,1,0,2,4,0,0,0,1,0,0,2,10
West Virginia,1991,0,0,0,0,0,2,1,0,0,1,1,0,0,6,11
Wisconsin,1991,0,0,0,2,0,6,0,0,0,1,1,2,3,1,16
Wyoming,1991,0,0,0,0,0,2,0,0,0,1,1,0,3,0,7
Alabama,1992,0,0,0,1,0,3,7,1,0,1,1,0,1,1,16
Alaska,1992,0,0,0,1,0,6,0,0,0,1,1,1,0,1,11
Arizona,1992,0,0,0,0,0,6,0,0,0,1,1,1,0,3,12
Arkansas,1992,0,0,0,0,0,6,0,0,0,1,1,1,3,3,15
California,1992,0,4,11,5,4,5,12,2,0,0,1,4,2,7,57
Colorado,1992,0,0,0,0,0,2,1,0,0,1,1,1,3,0,9
Connecticut,1992,0,0,0,1,4,4,10,0,0,1,1,4,3,0,28
Delaware,1992,0,0,0,1,0,3,3,1,0,0,1,0,0,5,14
Florida,1992,0,0,0,0,3,3,1,0,2,1,1,7,0,1,19
Georgia,1992,0,0,0,1,0,2,2,0,0,1,1,4,3,1,15
Hawaii,1992,1,0,0,9,5,2,6,5,0,1,1,3,3,7,43
Idaho,1992,0,0,0,0,0,2,0,0,0,0,1,0,2,0,5
Illinois,1992,3,0,7,5,0,6,5,1,0,1,1,7,3,4,43
Indiana,1992,0,0,0,0,0,3,1,0,0,1,1,1,3,0,10
Iowa,1992,2,0,3,4,2,3,0,0,0,1,1,1,0,1,18
Kansas,1992,0,0,0,0,0,6,0,0,0,1,1,1,3,1,13
Kentucky,1992,0,0,0,0,0,6,0,0,0,0,1,0,0,1,8
Louisiana,1992,0,0,0,1,0,6,0,0,0,1,1,1,0,0,10
Maine,1992,0,0,0,0,0,2,2,0,0,1,1,1,0,2,9
Maryland,1992,0,0,0,1,6,5,4,0,0,1,1,2,0,3,23
Massachusetts,1992,5,0,6,7,0,4,12,1,5,1,1,6,3,5,56
Michigan,1992,0,0,3,6,0,6,6,0,0,1,1,1,0,1,25
Minnesota,1992,0,0,0,1,0,6,1,0,0,1,1,1,0,4,15
Mississippi,1992,0,0,0,0,0,3,0,0,0,1,1,2,0,1,8
Missouri,1992,0,0,3,3,0,6,0,0,0,1,1,1,0,1,16
Montana,1992,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3
Nebraska,1992,0,0,2,3,0,6,0,0,1,1,1,0,3,1,18
Nevada,1992,0,0,0,0,2,3,0,0,0,0,1,1,0,1,8
New Hampshire,1992,0,0,0,0,0,1,1,0,0,1,1,0,3,0,7
New Jersey,1992,0,5,5,7,4,6,8,0,0,1,1,6,3,4,50
New Mexico,1992,0,0,0,0,0,6,0,0,0,1,1,1,0,1,10
New York,1992,1,0,0,5,0,6,4,2,0,1,1,5,3,7,35
North Carolina,1992,0,0,0,2,0,6,3,0,0,1,1,3,3,0,19
North Dakota,1992,0,0,0,0,0,3,0,0,2,1,1,2,0,4,13
Ohio,1992,0,0,0,3,0,6,0,0,2,1,1,1,3,2,19
Oklahoma,1992,0,0,0,1,0,6,0,0,0,1,1,1,0,1,11
